time,nodeId,type,cause,cpuAtEvent
0.10,0,OVERLOAD_START,SYSTEM,50.00
0.10,1,OVERLOAD_START,SYSTEM,50.00
0.10,2,OVERLOAD_START,SYSTEM,50.00
5.10,0,NETWORK_FAILURE,RANDOM,0.00
5.10,2,LINK_DEGRADED_START,SYSTEM,0.00
10.10,2,LINK_DEGRADED_END,SYSTEM,0.00
12.10,3,DEVICE_DROPOUT,SCHEDULED,80.50
15.10,1,HOST_FAILURE,SCHEDULED,50.00
20.10,0,DEVICE_DROPOUT,RANDOM,68.50
20.10,5,DEVICE_SENSOR_FAULT,SCHEDULED,68.50
33.10,4,DEVICE_SENSOR_FAULT,RANDOM,49.00
56.10,8,DEVICE_DROPOUT,RANDOM,14.50
61.10,0,HOST_FAILURE,RANDOM,50.00
66.10,1,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,2,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,6,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,7,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,9,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
71.10,2,HOST_FAILURE,RANDOM,50.00
109.10,2,NETWORK_FAILURE,RANDOM,0.00
181.10,1,NETWORK_FAILURE,RANDOM,0.00
